id de producto;precio
130583170;104900
128698390;139900
131764697;95900
138371089;95900
137289382;59900
131882296;109900
131931438;87900
138395431;139900
131892263;249900
137558009;119900
138375807;127900
138379842;125900
138403670;89900
131841964;47900
131925516;48900
138233017;87900
138373389;44900
138375886;179900
131735041;53900
128654342;104900
137073489;109900
128654346;104900
138373278;59900
138250420;19900
135789635;129900
131735033;62900
131764666;39900
138373509;289900
138376438;125900
131646369;104900
126984588;199900
130566325;69900
138368293;94900
138379590;319900
130616567;149900
131880323;149900
138376110;44900
131646350;159900
138373081;87900
127176227;109900
130449665;119900
138372982;87900
131717604;39900
136120566;107900
135643813;399900
137302428;139900
138373430;269900
138420748;149900
138375762;125900
135627011;97900
131714819;44900
135643701;433900
135687008;199900
138368324;49900
137289342;174900
138376063;149900
138370936;159900
138372499;59900
138395571;189900
138371085;129900
137289336;95900
130566295;79900
131714818;44900
134052094;39900
138373174;87900
130566320;74900
128329523;58900
138370668;169900
130616557;49900
131713712;87900
138400373;139900
135643738;159900
130582027;63900
127261810;87900
136293498;89900
131892184;39900
128654032;229900
130616521;87900
131764660;143900
131715628;44900
136293488;39900
130566292;55900
133453218;39900
138375565;125900
131735035;53900
131691760;48900
131714794;87900
138375423;55900
126998602;34900
130582025;49900
138375955;59900
138374484;107900
138379384;229900
138395461;109900
138379832;104900
136330873;113900
135643627;107900
136698197;79900
138379295;69900
137302181;125900
137407321;26900
131764488;209900
131868084;79900
137289399;107900
136293490;39900
138399396;349900
131764569;49900
138399358;53900
137289349;139900
128654039;109900
131716634;109900
131646369;104900
138373388;44900
135760127;35900
130582045;49900
131892151;179900
131911950;35900
137421575;109900
136697233;599900
131646350;159900
137289393;107900
137302249;77900
138368296;89900
138376441;125900
128296284;139900
138368898;79900
131882455;87900
131646362;104900
138407329;59900
131764652;69900
128698744;139900
128293004;137900
131764503;174900
138371287;137900
131841940;209900
138374549;149900
131892249;399900
130599066;103900
137270513;59900
138379457;49900
130562611;35900
137626757;83900
138379828;125900
138372794;69900
131646349;159900
131764477;244900
131764646;27900
131884292;153900
138370630;129900
138403776;59900
131912261;19900
138375565;125900
138369013;99900
131868097;59900
135828307;119900
138373477;149900
131869242;55900
131841709;109900
138370919;69900
131801393;309900
130582099;47900
131868806;55900
131735030;62900
138395427;189900
128654031;229900
130582099;47900
138375756;35900
138373006;44900
128654025;229900
135733321;69900
131646332;183900
138421544;74900
138372830;44900
136780102;23900
135643626;107900
131764686;209900
127174306;79900
137268393;63900
128654270;29900
127057029;34900
131646361;104900
131884402;153900
130566297;49900
131868808;79900
130584557;183900
137268397;62900
138373566;59900
138392062;59900
131735043;62900
137289430;137900
131841709;109900
137270513;59900
131868084;79900
131880368;95900
130566284;59900
138421045;49900
130616489;327900
138402691;109900
138375718;174900
138376059;149900
137296447;29900
128292997;183900
137558009;119900
135788965;113900
131892245;287900
138399839;229900
131764697;95900
135788551;47900
130577216;79900
137289359;149900
137289334;95900
138373220;349900
130595477;35900
130616551;74900
137289414;39900
131646334;159900
137289381;59900
131868103;39900
137302127;107900
138379844;125900
127057029;34900
135760127;35900
138375994;69900
131764551;63900
131868092;79900
135643632;199900
128698640;109900
131646348;137900
138375909;459900
131735038;62900
128698397;95900
130562666;87900
127261804;109900
131764597;103900
138373012;107900
135377901;56900
128293004;137900
131764699;189900
138424505;62900
130566309;69900
136489882;99900
138371182;159900
131713645;48900
136597163;55900
133608237;26900
138379319;229900
131764644;39900
138399856;44900
135788550;47900
138402699;137900
138379745;429900
131935131;295900
138372800;95900
135789621;159900
137289446;119900
131715622;44900
138373570;59900
137302318;35900
131884288;103900
137267947;16900
137289372;109900
135377901;56900
131886467;63900
138399887;35900
126970970;55900
131764644;39900
135828434;104900
137302076;47900
138368328;84900
138400319;129900
138374379;199900
130582029;39900
138379843;125900
137302207;62900
138373151;44900
128654189;132900
135683645;209900
138368754;79900
131646357;104900
128698714;125900
128654349;104900
128629522;62900
130658513;29900
138399416;59900
